frame,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
frame_004483.jpg,"('0.8058', '0.1149', '-0.3471')","('0.7938', '0.0996', '-0.3193')","('0.7942', '0.0996', '-0.3198')","('0.7950', '0.0995', '-0.3198')","('0.7855', '0.1013', '-0.3520')","('0.7794', '0.1032', '-0.3527')","('0.7715', '0.1057', '-0.3531')","('0.7762', '0.1137', '-0.1697')","('0.7385', '0.1244', '-0.3190')","('0.8068', '0.1356', '-0.2874')","('0.7982', '0.1385', '-0.3334')","('0.8326', '0.2615', '-0.1100')","('0.6818', '0.2213', '-0.2991')","('0.8141', '0.1231', '-0.0178')","('0.5663', '0.1236', '-0.3927')","('0.8414', '0.0271', '0.0715')","('0.4658', '0.0610', '-0.5159')","('0.8610', '0.0160', '0.0755')","('0.4327', '0.0666', '-0.5664')","('0.8576', '0.0184', '0.0342')","('0.4327', '0.0700', '-0.5839')","('0.8480', '0.0210', '0.0532')","('0.4468', '0.0687', '-0.5319')","('0.7486', '0.5140', '0.0742')","('0.6413', '0.4950', '-0.0743')","('0.9015', '0.6497', '0.0250')","('0.4094', '0.6308', '-0.1379')","('0.8165', '0.6399', '0.5264')","('0.1940', '0.7204', '0.0879')","('0.7988', '0.6231', '0.5764')","('0.1747', '0.7317', '0.1105')","('0.7834', '0.6612', '0.5259')","('0.1449', '0.7595', '-0.0408')"
frame_004484.jpg,"('0.7758', '0.1151', '-0.3037')","('0.7647', '0.1028', '-0.2707')","('0.7650', '0.1035', '-0.2711')","('0.7658', '0.1040', '-0.2711')","('0.7580', '0.1031', '-0.3122')","('0.7527', '0.1045', '-0.3129')","('0.7460', '0.1063', '-0.3132')","('0.7466', '0.1178', '-0.1054')","('0.7161', '0.1253', '-0.2959')","('0.7773', '0.1345', '-0.2383')","('0.7689', '0.1358', '-0.2963')","('0.7999', '0.2322', '-0.0252')","('0.6620', '0.2190', '-0.2857')","('0.8002', '0.1301', '0.1785')","('0.5359', '0.1322', '-0.4290')","('0.8408', '0.0372', '0.3653')","('0.4289', '0.0539', '-0.5860')","('0.8675', '0.0202', '0.3944')","('0.3908', '0.0530', '-0.6406')","('0.8726', '0.0252', '0.3345')","('0.3841', '0.0531', '-0.6551')","('0.8629', '0.0318', '0.3419')","('0.4017', '0.0544', '-0.6022')","('0.7470', '0.5106', '0.0918')","('0.6396', '0.4957', '-0.0919')","('0.9087', '0.6326', '-0.0792')","('0.4085', '0.6213', '-0.2591')","('0.8146', '0.6408', '0.4044')","('0.1849', '0.7204', '-0.0932')","('0.7928', '0.6274', '0.4515')","('0.1667', '0.7414', '-0.0783')","('0.7982', '0.6667', '0.4038')","('0.1182', '0.7582', '-0.2333')"
frame_004485.jpg,"('0.7619', '0.1107', '-0.3061')","('0.7503', '0.0993', '-0.2699')","('0.7520', '0.1000', '-0.2703')","('0.7540', '0.1006', '-0.2703')","('0.7403', '0.0995', '-0.3190')","('0.7340', '0.1011', '-0.3197')","('0.7261', '0.1035', '-0.3200')","('0.7364', '0.1156', '-0.0939')","('0.6979', '0.1250', '-0.3194')","('0.7676', '0.1309', '-0.2365')","('0.7581', '0.1311', '-0.3042')","('0.7858', '0.2206', '0.0230')","('0.6513', '0.2245', '-0.3381')","('0.8053', '0.1263', '0.3159')","('0.5184', '0.1329', '-0.5099')","('0.8442', '0.0415', '0.5212')","('0.4062', '0.0463', '-0.6835')","('0.8715', '0.0255', '0.5621')","('0.3688', '0.0435', '-0.7451')","('0.8758', '0.0296', '0.4892')","('0.3617', '0.0432', '-0.7548')","('0.8656', '0.0350', '0.4933')","('0.3795', '0.0445', '-0.6972')","('0.7501', '0.5043', '0.0981')","('0.6488', '0.4944', '-0.0983')","('0.9014', '0.6224', '-0.0468')","('0.4257', '0.5569', '-0.2125')","('0.6883', '0.6526', '0.3366')","('0.3676', '0.6141', '0.1361')","('0.6625', '0.6342', '0.3769')","('0.3694', '0.6184', '0.1757')","('0.6271', '0.6846', '0.3074')","('0.3368', '0.6301', '0.0895')"
frame_004486.jpg,"('0.7447', '0.1119', '-0.2670')","('0.7333', '0.1016', '-0.2309')","('0.7346', '0.1017', '-0.2313')","('0.7364', '0.1018', '-0.2313')","('0.7245', '0.1032', '-0.2730')","('0.7187', '0.1050', '-0.2736')","('0.7123', '0.1075', '-0.2739')","('0.7192', '0.1177', '-0.0668')","('0.6843', '0.1284', '-0.2589')","('0.7499', '0.1293', '-0.2019')","('0.7404', '0.1316', '-0.2604')","('0.7797', '0.2281', '0.0107')","('0.6345', '0.2214', '-0.2644')","('0.7988', '0.1356', '0.2611')","('0.4962', '0.1405', '-0.4004')","('0.8355', '0.0508', '0.4651')","('0.3779', '0.0480', '-0.5163')","('0.8604', '0.0371', '0.5079')","('0.3347', '0.0447', '-0.5588')","('0.8680', '0.0364', '0.4435')","('0.3295', '0.0441', '-0.5659')","('0.8586', '0.0428', '0.4411')","('0.3488', '0.0444', '-0.5277')","('0.7445', '0.4966', '0.0708')","('0.6421', '0.4842', '-0.0711')","('0.8889', '0.6108', '-0.2233')","('0.4449', '0.5681', '-0.2167')","('0.7403', '0.5913', '0.2142')","('0.4333', '0.6036', '0.0901')","('0.7239', '0.5677', '0.2648')","('0.4412', '0.6064', '0.1283')","('0.6786', '0.6048', '0.2651')","('0.4141', '0.6056', '0.0967')"
frame_004487.jpg,"('0.7173', '0.1089', '-0.1894')","('0.7024', '0.0998', '-0.1554')","('0.7030', '0.0997', '-0.1558')","('0.7042', '0.0996', '-0.1559')","('0.6932', '0.1009', '-0.1964')","('0.6880', '0.1028', '-0.1970')","('0.6818', '0.1053', '-0.1972')","('0.6857', '0.1202', '-0.0068')","('0.6550', '0.1299', '-0.1911')","('0.7236', '0.1278', '-0.1315')","('0.7147', '0.1296', '-0.1876')","('0.7595', '0.2253', '0.0426')","('0.6109', '0.2315', '-0.2013')","('0.7859', '0.1334', '0.2781')","('0.4712', '0.1447', '-0.3727')","('0.8174', '0.0442', '0.4841')","('0.3497', '0.0483', '-0.5508')","('0.8444', '0.0363', '0.5256')","('0.3101', '0.0461', '-0.5988')","('0.8515', '0.0373', '0.4593')","('0.3048', '0.0453', '-0.6084')","('0.8402', '0.0413', '0.4595')","('0.3240', '0.0469', '-0.5651')","('0.7247', '0.5234', '0.0611')","('0.6203', '0.5037', '-0.0615')","('0.8922', '0.6253', '-0.3095')","('0.3809', '0.5776', '-0.2275')","('0.7148', '0.5875', '0.0535')","('0.2203', '0.7057', '-0.0931')","('0.6967', '0.5564', '0.0939')","('0.2137', '0.7259', '-0.0772')","('0.6381', '0.5942', '0.0659')","('0.1258', '0.7517', '-0.1738')"
frame_004488.jpg,"('0.6771', '0.1079', '-0.1647')","('0.6636', '0.0994', '-0.1325')","('0.6646', '0.0995', '-0.1329')","('0.6659', '0.0993', '-0.1330')","('0.6564', '0.1013', '-0.1713')","('0.6509', '0.1039', '-0.1719')","('0.6437', '0.1079', '-0.1722')","('0.6514', '0.1209', '0.0090')","('0.6228', '0.1347', '-0.1667')","('0.6883', '0.1276', '-0.1096')","('0.6780', '0.1308', '-0.1634')","('0.7301', '0.2267', '0.0633')","('0.5898', '0.2365', '-0.1754')","('0.7573', '0.1386', '0.3214')","('0.4445', '0.1462', '-0.3251')","('0.7876', '0.0415', '0.5727')","('0.3261', '0.0565', '-0.4872')","('0.8164', '0.0266', '0.6217')","('0.2850', '0.0535', '-0.5314')","('0.8219', '0.0294', '0.5571')","('0.2790', '0.0505', '-0.5438')","('0.8114', '0.0351', '0.5499')","('0.2968', '0.0512', '-0.5026')","('0.7060', '0.5302', '0.0760')","('0.5926', '0.5133', '-0.0763')","('0.8923', '0.6213', '-0.1927')","('0.3709', '0.6216', '-0.2219')","('0.7487', '0.6007', '0.1946')","('0.1572', '0.7253', '-0.1417')","('0.7296', '0.5716', '0.2350')","('0.1468', '0.7391', '-0.1332')","('0.7018', '0.6169', '0.2209')","('0.0666', '0.7715', '-0.2422')"
frame_004489.jpg,"('0.6709', '0.1006', '-0.1338')","('0.6566', '0.0925', '-0.1064')","('0.6576', '0.0929', '-0.1068')","('0.6591', '0.0929', '-0.1069')","('0.6482', '0.0944', '-0.1355')","('0.6427', '0.0971', '-0.1361')","('0.6361', '0.1008', '-0.1365')","('0.6437', '0.1158', '0.0186')","('0.6189', '0.1283', '-0.1141')","('0.6818', '0.1200', '-0.0848')","('0.6728', '0.1229', '-0.1262')","('0.7356', '0.2224', '0.0566')","('0.5889', '0.2324', '-0.1048')","('0.7494', '0.1297', '0.2812')","('0.4444', '0.1451', '-0.2325')","('0.7828', '0.0298', '0.5161')","('0.3252', '0.0526', '-0.4141')","('0.8110', '0.0165', '0.5546')","('0.2835', '0.0509', '-0.4607')","('0.8164', '0.0201', '0.4959')","('0.2773', '0.0476', '-0.4783')","('0.8052', '0.0246', '0.4953')","('0.2973', '0.0492', '-0.4325')","('0.7065', '0.5303', '0.0573')","('0.5923', '0.5112', '-0.0574')","('0.8882', '0.6203', '-0.0811')","('0.3816', '0.6059', '-0.2124')","('0.8002', '0.6147', '0.3859')","('0.1643', '0.7275', '-0.0860')","('0.7805', '0.5966', '0.4331')","('0.1533', '0.7471', '-0.0733')","('0.7895', '0.6407', '0.4240')","('0.0746', '0.7652', '-0.1862')"
frame_004490.jpg,"('0.6655', '0.0952', '-0.2472')","('0.6504', '0.0887', '-0.2226')","('0.6514', '0.0894', '-0.2231')","('0.6527', '0.0897', '-0.2231')","('0.6438', '0.0922', '-0.2538')","('0.6390', '0.0959', '-0.2544')","('0.6339', '0.1000', '-0.2547')","('0.6390', '0.1130', '-0.0936')","('0.6161', '0.1299', '-0.2341')","('0.6778', '0.1173', '-0.1949')","('0.6690', '0.1204', '-0.2382')","('0.7335', '0.2181', '-0.0265')","('0.5884', '0.2373', '-0.2041')","('0.7514', '0.1252', '0.2161')","('0.4395', '0.1516', '-0.3211')","('0.7759', '0.0279', '0.4614')","('0.3146', '0.0582', '-0.4838')","('0.8053', '0.0114', '0.5039')","('0.2728', '0.0560', '-0.5278')","('0.8085', '0.0167', '0.4440')","('0.2691', '0.0552', '-0.5401')","('0.7966', '0.0228', '0.4408')","('0.2864', '0.0565', '-0.4984')","('0.7112', '0.5114', '0.0511')","('0.6024', '0.5016', '-0.0513')","('0.8911', '0.6294', '-0.1740')","('0.3818', '0.6028', '-0.2133')","('0.7825', '0.6004', '0.2878')","('0.1738', '0.7190', '-0.0966')","('0.7654', '0.5754', '0.3358')","('0.1697', '0.7413', '-0.0848')","('0.7535', '0.6179', '0.3269')","('0.1152', '0.7576', '-0.1947')"
frame_004491.jpg,"('0.6627', '0.0920', '-0.3187')","('0.6473', '0.0867', '-0.2918')","('0.6488', '0.0875', '-0.2922')","('0.6506', '0.0877', '-0.2923')","('0.6406', '0.0904', '-0.3240')","('0.6363', '0.0944', '-0.3246')","('0.6312', '0.0992', '-0.3250')","('0.6399', '0.1132', '-0.1561')","('0.6160', '0.1318', '-0.3011')","('0.6778', '0.1143', '-0.2642')","('0.6677', '0.1175', '-0.3088')","('0.7376', '0.2113', '-0.0839')","('0.5944', '0.2417', '-0.2761')","('0.7577', '0.1189', '0.1342')","('0.4453', '0.1551', '-0.4022')","('0.7776', '0.0249', '0.3787')","('0.3172', '0.0609', '-0.5455')","('0.8054', '0.0087', '0.4218')","('0.2731', '0.0579', '-0.5895')","('0.8082', '0.0132', '0.3640')","('0.2686', '0.0566', '-0.5958')","('0.7938', '0.0181', '0.3585')","('0.2860', '0.0586', '-0.5579')","('0.7170', '0.5068', '0.0581')","('0.6085', '0.4987', '-0.0582')","('0.8726', '0.6205', '-0.2371')","('0.3939', '0.6176', '-0.1824')","('0.7968', '0.6102', '0.2705')","('0.2027', '0.7117', '0.0158')","('0.7811', '0.5898', '0.3234')","('0.1883', '0.7210', '0.0358')","('0.7761', '0.6323', '0.3026')","('0.1803', '0.7379', '-0.0735')"
frame_004492.jpg,"('0.6623', '0.0934', '-0.2386')","('0.6448', '0.0885', '-0.2092')","('0.6457', '0.0891', '-0.2096')","('0.6470', '0.0893', '-0.2097')","('0.6376', '0.0924', '-0.2407')","('0.6332', '0.0968', '-0.2414')","('0.6283', '0.1023', '-0.2417')","('0.6382', '0.1172', '-0.0693')","('0.6156', '0.1337', '-0.2103')","('0.6783', '0.1158', '-0.1832')","('0.6696', '0.1200', '-0.2269')","('0.7393', '0.2108', '-0.0007')","('0.5929', '0.2410', '-0.1931')","('0.7592', '0.1107', '0.2271')","('0.4429', '0.1584', '-0.3120')","('0.7758', '0.0185', '0.4461')","('0.3096', '0.0651', '-0.4711')","('0.7969', '0.0019', '0.4842')","('0.2641', '0.0655', '-0.5170')","('0.7985', '0.0044', '0.4274')","('0.2607', '0.0639', '-0.5291')","('0.7875', '0.0087', '0.4263')","('0.2803', '0.0638', '-0.4858')","('0.7231', '0.5112', '0.0611')","('0.6116', '0.5016', '-0.0613')","('0.8826', '0.6287', '-0.2459')","('0.3918', '0.6163', '-0.2288')","('0.7888', '0.6099', '0.1859')","('0.1833', '0.7195', '-0.1167')","('0.7697', '0.5875', '0.2308')","('0.1796', '0.7306', '-0.1055')","('0.7689', '0.6282', '0.2093')","('0.1221', '0.7639', '-0.2202')"
