frame,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
frame_000389.jpg,"('0.2552', '0.2393', '-1.0438')","('0.2673', '0.2141', '-0.9586')","('0.2860', '0.2117', '-0.9599')","('0.3017', '0.2101', '-0.9602')","('0.2103', '0.2231', '-0.9715')","('0.1902', '0.2271', '-0.9727')","('0.1754', '0.2307', '-0.9737')","('0.3202', '0.2158', '-0.4952')","('0.1577', '0.2476', '-0.5557')","('0.2978', '0.2545', '-0.8651')","('0.2391', '0.2666', '-0.8895')","('0.4699', '0.2865', '-0.2049')","('0.1788', '0.3939', '-0.3707')","('0.6538', '0.1755', '0.0065')","('0.1205', '0.5062', '-0.9010')","('0.7895', '0.0495', '-0.0796')","('0.2354', '0.4698', '-1.8401')","('0.8705', '0.0308', '-0.1271')","('0.2939', '0.4856', '-2.0515')","('0.8754', '0.0303', '-0.2271')","('0.3281', '0.4677', '-2.0667')","('0.8474', '0.0386', '-0.1233')","('0.3138', '0.4649', '-1.8756')","('0.5463', '0.5993', '0.0658')","('0.3744', '0.6156', '-0.0666')","('0.4917', '0.7673', '0.4798')","('0.3513', '0.8011', '-0.1436')","('0.3869', '0.8302', '1.6524')","('0.3764', '0.9794', '0.1813')","('0.3721', '0.8360', '1.7595')","('0.3949', '0.9949', '0.2023')","('0.3702', '0.8784', '1.6626')","('0.3464', '1.0781', '-0.1432')"
frame_000390.jpg,"('0.2503', '0.2345', '-0.8564')","('0.2638', '0.2111', '-0.7626')","('0.2848', '0.2085', '-0.7639')","('0.3010', '0.2067', '-0.7640')","('0.2072', '0.2183', '-0.7833')","('0.1862', '0.2213', '-0.7846')","('0.1702', '0.2241', '-0.7855')","('0.3187', '0.2102', '-0.2659')","('0.1493', '0.2371', '-0.3589')","('0.2914', '0.2501', '-0.6625')","('0.2339', '0.2605', '-0.6965')","('0.4572', '0.2849', '0.0848')","('0.1621', '0.3892', '-0.1739')","('0.6582', '0.1708', '0.2892')","('0.1160', '0.5230', '-0.5758')","('0.8087', '0.0450', '0.1202')","('0.2491', '0.4727', '-1.2958')","('0.8843', '0.0199', '0.0715')","('0.3049', '0.4690', '-1.4590')","('0.8920', '0.0183', '-0.0177')","('0.3073', '0.4476', '-1.4657')","('0.8655', '0.0294', '0.0776')","('0.2904', '0.4484', '-1.3191')","('0.5018', '0.6088', '0.0818')","('0.3458', '0.6203', '-0.0827')","('0.4422', '0.8331', '0.1535')","('0.3289', '0.7987', '-0.1499')","('0.3411', '0.9519', '0.8845')","('0.3536', '1.0032', '0.4651')","('0.3221', '0.9642', '0.9443')","('0.3543', '1.0317', '0.5189')","('0.3196', '1.0139', '0.6828')","('0.3879', '1.0774', '0.2158')"
frame_000391.jpg,"('0.2515', '0.2336', '-0.8797')","('0.2637', '0.2089', '-0.7906')","('0.2854', '0.2061', '-0.7918')","('0.3003', '0.2044', '-0.7919')","('0.2073', '0.2157', '-0.8098')","('0.1877', '0.2182', '-0.8111')","('0.1706', '0.2207', '-0.8121')","('0.3200', '0.2079', '-0.3083')","('0.1508', '0.2319', '-0.3951')","('0.2950', '0.2501', '-0.6908')","('0.2362', '0.2592', '-0.7229')","('0.4553', '0.2829', '0.0207')","('0.1582', '0.3874', '-0.2151')","('0.6512', '0.1669', '0.2337')","('0.1148', '0.5202', '-0.7243')","('0.8056', '0.0434', '0.0948')","('0.2302', '0.4744', '-1.6024')","('0.8790', '0.0167', '0.0478')","('0.2884', '0.4709', '-1.7898')","('0.8904', '0.0157', '-0.0458')","('0.2833', '0.4484', '-1.8029')","('0.8661', '0.0281', '0.0506')","('0.2653', '0.4494', '-1.6333')","('0.4994', '0.6087', '0.0614')","('0.3414', '0.6184', '-0.0623')","('0.4299', '0.8310', '0.1187')","('0.3301', '0.8059', '-0.1024')","('0.3265', '0.9649', '0.7421')","('0.3671', '0.9821', '0.4660')","('0.3099', '0.9799', '0.7888')","('0.3782', '1.0448', '0.5135')","('0.2951', '1.0279', '0.5096')","('0.4009', '1.0884', '0.2046')"
frame_000392.jpg,"('0.2474', '0.2253', '-1.2507')","('0.2615', '0.2023', '-1.1617')","('0.2843', '0.1997', '-1.1630')","('0.2998', '0.1982', '-1.1631')","('0.2056', '0.2078', '-1.1876')","('0.1861', '0.2100', '-1.1889')","('0.1696', '0.2121', '-1.1900')","('0.3182', '0.2010', '-0.6385')","('0.1465', '0.2237', '-0.7584')","('0.2845', '0.2427', '-1.0431')","('0.2251', '0.2490', '-1.0845')","('0.4583', '0.2809', '-0.2083')","('0.1325', '0.3788', '-0.5322')","('0.6862', '0.1647', '-0.0148')","('0.1090', '0.5366', '-0.9614')","('0.8353', '0.0436', '-0.2300')","('0.1646', '0.4787', '-1.7747')","('0.9027', '0.0173', '-0.2892')","('0.2108', '0.4675', '-1.9680')","('0.9130', '0.0128', '-0.3937')","('0.1889', '0.4421', '-1.9946')","('0.8919', '0.0242', '-0.2812')","('0.1763', '0.4450', '-1.8095')","('0.4997', '0.6031', '0.1079')","('0.3338', '0.6170', '-0.1086')","('0.4328', '0.8458', '0.2091')","('0.3347', '0.8219', '-0.1777')","('0.3309', '1.0064', '0.8952')","('0.3824', '0.9888', '0.6028')","('0.3168', '0.9915', '0.9415')","('0.3788', '0.9929', '0.6667')","('0.3272', '1.0665', '0.5248')","('0.4576', '1.0741', '0.2518')"
frame_000393.jpg,"('0.2540', '0.2206', '-1.1246')","('0.2669', '0.1991', '-1.0480')","('0.2864', '0.1970', '-1.0492')","('0.3018', '0.1952', '-1.0494')","('0.2142', '0.2025', '-1.0732')","('0.1953', '0.2042', '-1.0746')","('0.1788', '0.2062', '-1.0756')","('0.3150', '0.1978', '-0.5904')","('0.1573', '0.2181', '-0.7053')","('0.2867', '0.2380', '-0.9414')","('0.2335', '0.2437', '-0.9813')","('0.4526', '0.2767', '-0.2083')","('0.1421', '0.3787', '-0.5363')","('0.6715', '0.1590', '-0.0212')","('0.1133', '0.5320', '-1.0581')","('0.8299', '0.0341', '-0.1969')","('0.1922', '0.4720', '-1.9193')","('0.8994', '0.0087', '-0.2458')","('0.2341', '0.4596', '-2.1148')","('0.9110', '0.0044', '-0.3476')","('0.2193', '0.4362', '-2.1298')","('0.8907', '0.0160', '-0.2463')","('0.2064', '0.4400', '-1.9513')","('0.4932', '0.5980', '0.1058')","('0.3383', '0.6123', '-0.1065')","('0.4538', '0.8508', '0.1536')","('0.3425', '0.8192', '-0.2018')","('0.3446', '0.9771', '0.7028')","('0.3845', '0.9916', '0.3704')","('0.3243', '0.9917', '0.7359')","('0.3805', '1.0007', '0.4132')","('0.3562', '1.0726', '0.3623')","('0.4793', '1.0822', '0.0233')"
frame_000394.jpg,"('0.2965', '0.1628', '-1.3581')","('0.3122', '0.1411', '-1.2702')","('0.3313', '0.1393', '-1.2715')","('0.3474', '0.1380', '-1.2714')","('0.2565', '0.1439', '-1.2952')","('0.2349', '0.1458', '-1.2966')","('0.2182', '0.1479', '-1.2978')","('0.3589', '0.1406', '-0.7503')","('0.1911', '0.1595', '-0.8681')","('0.3313', '0.1793', '-1.1511')","('0.2726', '0.1841', '-1.1927')","('0.4988', '0.2240', '-0.3406')","('0.1623', '0.3137', '-0.5906')","('0.7162', '0.1252', '-0.2406')","('0.1496', '0.4456', '-0.7328')","('0.8900', '-0.0028', '-0.4122')","('0.1233', '0.4974', '-1.1954')","('0.9201', '-0.0410', '-0.4544')","('0.1098', '0.5099', '-1.3086')","('0.9224', '-0.0528', '-0.5489')","('0.0956', '0.5006', '-1.3837')","('0.9094', '-0.0352', '-0.4609')","('0.1157', '0.4954', '-1.2420')","('0.5368', '0.5366', '0.1018')","('0.3532', '0.5542', '-0.1024')","('0.5357', '0.7750', '0.2879')","('0.3926', '0.7708', '-0.2497')","('0.4203', '0.9208', '0.9174')","('0.4465', '0.9616', '0.3324')","('0.3980', '0.9386', '0.9579')","('0.4484', '0.9714', '0.3748')","('0.5218', '0.9789', '0.5001')","('0.5328', '0.9914', '-0.1325')"
frame_000395.jpg,"('0.3042', '0.1416', '-1.3100')","('0.3179', '0.1174', '-1.2252')","('0.3337', '0.1160', '-1.2264')","('0.3510', '0.1145', '-1.2263')","('0.2637', '0.1225', '-1.2506')","('0.2442', '0.1247', '-1.2521')","('0.2284', '0.1269', '-1.2532')","('0.3606', '0.1197', '-0.7206')","('0.2044', '0.1395', '-0.8379')","('0.3382', '0.1587', '-1.1092')","('0.2828', '0.1651', '-1.1502')","('0.4970', '0.2029', '-0.3118')","('0.1809', '0.2924', '-0.5558')","('0.7077', '0.1078', '-0.2454')","('0.1581', '0.4333', '-0.6205')","('0.8578', '-0.0109', '-0.4861')","('0.1220', '0.4846', '-0.9882')","('0.8802', '-0.0557', '-0.5405')","('0.1085', '0.4956', '-1.0878')","('0.8772', '-0.0651', '-0.6276')","('0.0956', '0.4880', '-1.1680')","('0.8645', '-0.0459', '-0.5331')","('0.1102', '0.4823', '-1.0332')","('0.5314', '0.5148', '0.0991')","('0.3625', '0.5313', '-0.0997')","('0.5258', '0.7554', '0.2927')","('0.3959', '0.7457', '-0.2927')","('0.4556', '0.9257', '0.8214')","('0.4464', '0.9493', '0.1469')","('0.3939', '0.9329', '0.8501')","('0.4420', '0.9605', '0.1737')","('0.5026', '0.9637', '0.3986')","('0.5359', '1.0237', '-0.3299')"
frame_000396.jpg,"('0.3419', '0.1329', '-1.0377')","('0.3543', '0.1060', '-0.9571')","('0.3702', '0.1039', '-0.9580')","('0.3854', '0.1025', '-0.9580')","('0.3038', '0.1107', '-0.9825')","('0.2844', '0.1122', '-0.9838')","('0.2677', '0.1142', '-0.9847')","('0.3998', '0.1065', '-0.4910')","('0.2436', '0.1248', '-0.6050')","('0.3737', '0.1475', '-0.8534')","('0.3176', '0.1547', '-0.8929')","('0.5287', '0.1896', '-0.2206')","('0.1984', '0.2762', '-0.3829')","('0.7337', '0.0995', '-0.3850')","('0.1722', '0.4261', '-0.5993')","('0.8924', '-0.0088', '-0.8456')","('0.0936', '0.5223', '-1.1417')","('0.9194', '-0.0485', '-0.9450')","('0.0697', '0.5539', '-1.2563')","('0.9117', '-0.0563', '-1.0168')","('0.0521', '0.5495', '-1.3678')","('0.8985', '-0.0423', '-0.8958')","('0.0681', '0.5399', '-1.2040')","('0.5651', '0.5105', '0.0494')","('0.3960', '0.5305', '-0.0503')","('0.5976', '0.7382', '0.1140')","('0.4415', '0.7529', '-0.2726')","('0.4874', '0.9156', '0.7055')","('0.4704', '0.9551', '0.0660')","('0.4918', '0.9441', '0.7441')","('0.4732', '0.9703', '0.0838')","('0.5319', '0.9756', '0.3609')","('0.5159', '1.0402', '-0.3823')"
frame_000397.jpg,"('0.3423', '0.1289', '-0.8370')","('0.3553', '0.1017', '-0.7598')","('0.3706', '0.0996', '-0.7606')","('0.3854', '0.0982', '-0.7606')","('0.3055', '0.1060', '-0.7789')","('0.2868', '0.1076', '-0.7802')","('0.2711', '0.1098', '-0.7810')","('0.4000', '0.1023', '-0.3299')","('0.2492', '0.1213', '-0.4159')","('0.3728', '0.1440', '-0.6681')","('0.3201', '0.1515', '-0.6993')","('0.5222', '0.1851', '-0.0985')","('0.2059', '0.2722', '-0.2217')","('0.7170', '0.0944', '-0.2548')","('0.1826', '0.4225', '-0.4053')","('0.8638', '-0.0133', '-0.6747')","('0.1111', '0.5207', '-0.9225')","('0.8866', '-0.0533', '-0.7653')","('0.0903', '0.5510', '-1.0274')","('0.8789', '-0.0608', '-0.8297')","('0.0710', '0.5455', '-1.1346')","('0.8665', '-0.0461', '-0.7202')","('0.0838', '0.5362', '-0.9821')","('0.5598', '0.5080', '0.0428')","('0.3943', '0.5286', '-0.0437')","('0.5879', '0.7396', '0.1014')","('0.4385', '0.7525', '-0.2833')","('0.4840', '0.9126', '0.7005')","('0.4650', '0.9567', '0.0131')","('0.4548', '0.9291', '0.7423')","('0.4680', '0.9723', '0.0284')","('0.5211', '0.9746', '0.4035')","('0.5197', '1.0447', '-0.4089')"
frame_000398.jpg,"('0.3933', '0.1201', '-1.0095')","('0.4057', '0.0972', '-0.9388')","('0.4205', '0.0954', '-0.9396')","('0.4323', '0.0945', '-0.9396')","('0.3594', '0.1008', '-0.9555')","('0.3435', '0.1021', '-0.9567')","('0.3271', '0.1038', '-0.9575')","('0.4437', '0.0976', '-0.5137')","('0.3047', '0.1126', '-0.5884')","('0.4189', '0.1359', '-0.8396')","('0.3714', '0.1417', '-0.8672')","('0.5547', '0.1828', '-0.2775')","('0.2421', '0.2613', '-0.3396')","('0.7415', '0.0985', '-0.3812')","('0.1979', '0.4221', '-0.4484')","('0.8871', '-0.0100', '-0.7434')","('0.1063', '0.5428', '-0.9005')","('0.9095', '-0.0498', '-0.8281')","('0.0843', '0.5801', '-0.9966')","('0.9072', '-0.0551', '-0.8982')","('0.0637', '0.5764', '-1.1051')","('0.8981', '-0.0389', '-0.7887')","('0.0771', '0.5634', '-0.9584')","('0.5881', '0.5048', '0.0085')","('0.4303', '0.5244', '-0.0093')","('0.6722', '0.7435', '-0.0393')","('0.4785', '0.7609', '-0.1670')","('0.5442', '0.8870', '0.6963')","('0.5155', '0.9559', '0.1971')","('0.5283', '0.9232', '0.7556')","('0.5253', '0.9723', '0.2203')","('0.5293', '0.9710', '0.4544')","('0.5359', '1.0499', '-0.1828')"
